mmsi,vessel_name,timestamp,latitude,longitude,speed_knots,course,ship_type,behaviour_anomaly,ais_gap_score
123456789,MV OCEAN STAR,2026-08-28T14:02:00Z,15.4510,72.7910,11.2,142,Tanker,82,88
123456789,MV OCEAN STAR,2026-08-28T13:30:00Z,15.4760,72.7650,11.6,140,Tanker,82,88
123456789,MV OCEAN STAR,2026-08-28T12:55:00Z,15.5010,72.7380,10.9,141,Tanker,82,88
987654321,SEA CARRIER 07,2026-08-28T15:05:00Z,15.4880,72.8440,13.1,225,Tanker,61,62
987654321,SEA CARRIER 07,2026-08-28T14:35:00Z,15.5120,72.8610,12.8,220,Tanker,61,62
987654321,SEA CARRIER 07,2026-08-28T13:55:00Z,15.5350,72.8780,12.4,218,Tanker,61,62
555666777,BLUE HORIZON,2026-08-28T12:45:00Z,15.5710,72.7420,9.8,85,Container,48,20
555666777,BLUE HORIZON,2026-08-28T11:55:00Z,15.5850,72.6810,10.1,82,Container,48,20
444555666,OCEAN TRADER,2026-08-28T16:10:00Z,15.3350,72.7600,8.5,10,Container,35,12
444555666,OCEAN TRADER,2026-08-28T15:20:00Z,15.3000,72.7550,8.8,8,Container,35,12
333444555,MARINE EXPRESS,2026-08-28T10:20:00Z,15.6100,72.8900,7.9,180,Bulk Carrier,25,5
333444555,MARINE EXPRESS,2026-08-28T09:20:00Z,15.6750,72.8900,8.0,180,Bulk Carrier,25,5
